技名,タイプ,分類,威力,ダイ,命中,PP,直,説明
しっぽをふる,ノーマル,変化,-,-,100,30,×,相手全体が対象。相手の『ぼうぎょ』ランクを1段階下げる。
たいあたり,ノーマル,物理,40,90,100,35,○,通常攻撃。(第6世代は威力:50)
うちおとす,いわ,物理,50,100,100,15,×,特性『ふゆう』や、『ひこう』タイプのポケモンに『じめん』タイプの技が当たるようになる。また、技『そらをとぶ』『とびはねる』『でんじふゆう』『テレキネシス』の効果が解除され、『でんじふゆう』『テレキネシス』は使用できなくなる。『フリーフォール』状態の相手にも命中する。
じならし,じめん,物理,60,110,100,20,×,自分以外全員が対象。100%の確率で相手の『すばやさ』ランクを1段階下げる。
つのでつく,ノーマル,物理,65,120,100,25,○,通常攻撃。
こわいかお,ノーマル,変化,-,-,100,10,×,相手の『すばやさ』ランクを2段階下げる。
ふみつけ,ノーマル,物理,65,120,100,20,○,30%の確率で相手をひるませる。相手が技『ちいさくなる』を使用していると必ず命中し、威力が2倍になる。
ロックブラスト,いわ,物理,25,130,90,10,×,1ターンに2～5回連続で攻撃する。
ドリルライナー,じめん,物理,80,130,95,10,○,急所に当たりやすい(急所ランク:+1)。
とっしん,ノーマル,物理,90,130,85,20,○,相手に与えたダメージの1/4を自分も受ける。
じしん,じめん,物理,100,130,100,10,×,自分以外全員が対象。相手が技『あなをほる』を使っている時でも命中し、ダメージが2倍になる。
ストーンエッジ,いわ,物理,100,130,80,5,×,急所に当たりやすい(急所ランク:+1)。
メガホーン,むし,物理,120,140,85,10,○,通常攻撃。
つのドリル,ノーマル,物理,-,130,30,5,○,相手を『ひんし』状態にする。相手のレベルが自分より高いと失敗する。(30＋自分のレベル－相手のレベル)が命中率になる。ダイマックスしている相手には無効。
あなをほる,じめん,物理,80,130,100,10,○,1ターン目に地中に潜り、2ターン目に攻撃する。地中にいる間は『じしん』『マグニチュード』以外の技を受けない。
ねむる,エスパー,変化,-,-,-,10,×,HPと状態異常をすべて回復した後、2ターンの間『ねむり』状態になる。
いわなだれ,いわ,物理,75,130,90,10,×,相手全体が対象。30%の確率で相手をひるませる。
どろぼう,あく,物理,60,110,100,25,○,相手が持っている道具を自分の物にする。自分が既に道具を持っている場合は失敗するが、技『はたきおとす』で自分の道具が無効化されている時は奪う事ができ、道具は上書きされる。トレーナー戦の場合はバトル終了後になくなる。
いびき,ノーマル,特殊,50,100,100,15,×,自分が『ねむり』状態の時のみ使用可能。30%の確率で相手をひるませる。音系の技。相手の『みがわり』状態を貫通する。
まもる,ノーマル,変化,-,-,-,10,×,必ず先制でき(優先度:+4)、そのターンの間、相手の技を受けない。連続で使うと失敗しやすくなる。ダイマックス技や第7世代のZワザの攻撃技は貫通し、1/4のダメージを受ける。
こわいかお,ノーマル,変化,-,-,100,10,×,相手の『すばやさ』ランクを2段階下げる。
こごえるかぜ,こおり,特殊,55,110,95,15,×,相手全体が対象。100%の確率で相手の『すばやさ』ランクを1段階下げる。
メロメロ,ノーマル,変化,-,-,100,15,×,相手が自分とは異なる性別の場合、相手を『メロメロ』状態にする。『メロメロ』状態になると、50%の確率で相手は自分に攻撃できなくなる。自分と相手の性別が同じ時や、どちらかが性別不明の場合は失敗する。
すなあらし,いわ,変化,-,-,-,10,×,5ターンの間、天気を『すなあらし』にする。
あまごい,みず,変化,-,-,-,5,×,5ターンの間、天気を『あめ』にする。
