技名,タイプ,分類,威力,ダイ,命中,PP,直,説明
たいあたり,ノーマル,物理,40,90,100,35,○,通常攻撃。(第6世代は威力:50)
ほっぺすりすり,でんき,物理,20,90,100,20,○,100%の確率で相手を『まひ』状態にする。
まるくなる,ノーマル,変化,-,-,-,40,×,自分の『ぼうぎょ』ランクを1段階上げる。
じゅうでん,でんき,変化,-,-,-,20,×,次のターン、自分の『でんき』タイプの技の威力が2倍になる。自分の『とくぼう』ランクが1段階上がる。
でんきショック,でんき,特殊,40,90,100,30,×,10%の確率で相手を『まひ』状態にする。
とどめばり,むし,物理,50,100,100,25,○,この技で相手を倒すと、自分の『こうげき』ランクが3段階上がる。(第6世代は威力:30、2段階上昇)
スパーク,でんき,物理,65,120,100,20,○,30%の確率で相手を『まひ』状態にする。
ミサイルばり,むし,物理,25,130,95,20,×,1ターンに2～5回連続で攻撃する。
でんじふゆう,でんき,変化,-,-,-,10,×,5ターンの間、『じめん』タイプの技を受けなくなる。
びりびりちくちく,でんき,物理,80,130,100,10,○,30%の確率で相手をひるませる。
ほうでん,でんき,特殊,80,130,100,15,×,自分以外全員が対象。30%の確率で相手を『まひ』状態にする。
エレキフィールド,でんき,変化,-,-,-,10,×,5ターンの間、場の状態を『エレキフィールド』にする。『ひこう』タイプや特性『ふゆう』などではない地面にいるすべてのポケモンは、『ねむり』『あくび』(ねむけ)状態にならず、また『でんき』タイプの技の威力が1.3倍になる(第7世代までは1.5倍)。すでに『ねむり』状態の場合は回復しない。道具『エレキシード』を持ったポケモンは『ぼうぎょ』ランクが1段階上がる。
ワイルドボルト,でんき,物理,90,130,100,15,○,相手に与えたダメージの1/4を自分も受ける。
ニードルガード,くさ,変化,-,-,-,10,×,必ず先制でき(優先度:+4)、そのターンの間、相手の攻撃を防ぐと同時に、直接攻撃をした相手に相手の最大HPの1/8のダメージを与える。連続で使うと失敗しやすくなる。ダイマックス技や第7世代のZワザの攻撃技は貫通し、1/4のダメージを受ける。
ミサイルばり,むし,物理,25,130,95,20,×,1ターンに2～5回連続で攻撃する。
