技名,タイプ,分類,威力,ダイ,命中,PP,直,説明
たいあたり,ノーマル,物理,40,90,100,35,○,通常攻撃。(第6世代は威力:50)
つつく,ひこう,物理,35,90,100,35,○,通常攻撃。
さいみんじゅつ,エスパー,変化,-,-,60,20,×,相手を2～4ターン(実質1～3ターン)の間『ねむり』状態にする。
まきつく,ノーマル,物理,15,90,90,20,○,4～5ターンの間、毎ターン終了後最大HPの1/8のダメージを与え、その間相手は逃げたり交代できない。
しっぺがえし,あく,物理,50,100,100,10,○,自分が後攻の時、威力が2倍になる。
ついばむ,ひこう,物理,60,110,100,20,○,相手が持っているバトルに効果のある『きのみ』を奪って、自分に使う。
サイケこうせん,エスパー,特殊,65,120,100,20,×,10%の確率で相手を1～4ターンの間『こんらん』状態にする。
いばる,ノーマル,変化,-,-,85,15,×,相手を1～4ターンの間『こんらん』状態にするが、相手の『こうげき』ランクを2段階上げてしまう。(第6世代は命中率:90)
きりさく,ノーマル,物理,70,120,100,20,○,急所に当たりやすい(急所ランク:+1)。
つじぎり,あく,物理,70,120,100,15,○,急所に当たりやすい(急所ランク:+1)。
サイコカッター,エスパー,物理,70,120,100,20,×,急所に当たりやすい(急所ランク:+1)。
すりかえ,あく,変化,-,-,100,10,×,相手と自分が持っている道具を入れ替える。片方しか道具を持っていない場合も成功する。
イカサマ,あく,物理,95,130,100,15,○,自分の『こうげき』ではなく、相手の『こうげき』の能力値でダメージ計算する。
ひっくりかえす,あく,変化,-,-,-,20,×,相手のすべての『能力』ランクのプラスとマイナスを逆にする。
ばかぢから,かくとう,物理,120,95,100,5,○,攻撃後、自分の『こうげき』『ぼうぎょ』ランクが1段階ずつ下がる。
ひかりのかべ,エスパー,変化,-,-,-,30,×,5ターンの間、相手の特殊攻撃のダメージを半分にする。味方が複数の場合は半分ではなく2/3になる。急所に当たった場合は軽減されない。交代しても効果は続く。
リフレクター,エスパー,変化,-,-,-,20,×,5ターンの間、相手の物理攻撃のダメージを半分にする。味方が複数の場合は半分ではなく2/3になる。急所に当たった場合は軽減されない。交代しても効果は続く。
ねむる,エスパー,変化,-,-,-,10,×,HPと状態異常をすべて回復した後、2ターンの間『ねむり』状態になる。
いわなだれ,いわ,物理,75,130,90,10,×,相手全体が対象。30%の確率で相手をひるませる。
どろぼう,あく,物理,60,110,100,25,○,相手が持っている道具を自分の物にする。自分が既に道具を持っている場合は失敗するが、技『はたきおとす』で自分の道具が無効化されている時は奪う事ができ、道具は上書きされる。トレーナー戦の場合はバトル終了後になくなる。
いびき,ノーマル,特殊,50,100,100,15,×,自分が『ねむり』状態の時のみ使用可能。30%の確率で相手をひるませる。音系の技。相手の『みがわり』状態を貫通する。
まもる,ノーマル,変化,-,-,-,10,×,必ず先制でき(優先度:+4)、そのターンの間、相手の技を受けない。連続で使うと失敗しやすくなる。ダイマックス技や第7世代のZワザの攻撃技は貫通し、1/4のダメージを受ける。
メロメロ,ノーマル,変化,-,-,100,15,×,相手が自分とは異なる性別の場合、相手を『メロメロ』状態にする。『メロメロ』状態になると、50%の確率で相手は自分に攻撃できなくなる。自分と相手の性別が同じ時や、どちらかが性別不明の場合は失敗する。
あまごい,みず,変化,-,-,-,5,×,5ターンの間、天気を『あめ』にする。
にほんばれ,ほのお,変化,-,-,-,5,×,5ターンの間、天気を『ひざしがつよい』にする。
からげんき,ノーマル,物理,70,120,100,20,○,自分が『どく』『まひ』『やけど』状態の時、威力が2倍になる。『やけど』による『こうげき』の半減の影響を受けない。
うそなき,あく,変化,-,-,100,20,×,相手の『とくぼう』ランクを2段階下げる。
しっぺがえし,あく,物理,50,100,100,10,○,自分が後攻の時、威力が2倍になる。
なげつける,あく,物理,-,100,100,10,×,自分の持っている道具によって効果が変化する。投げつけた道具はなくなる。
ガードスワップ,エスパー,変化,-,-,-,10,×,自分と相手の『ぼうぎょ』『とくぼう』ランクを入れ替える。
サイコカッター,エスパー,物理,70,120,100,20,×,急所に当たりやすい(急所ランク:+1)。
トリックルーム,エスパー,変化,-,-,-,5,×,5ターンの間、『すばやさ』が低いポケモンから攻撃できるようになる。ただし、必ず先制できる技には無効。もう1度使用すると元に戻る。必ず後攻になる(優先度:-7)。
りんしょう,ノーマル,特殊,60,110,100,15,×,同じターンに他のポケモンも『りんしょう』を使おうとすると、『すばやさ』に関係なく最初に使用したポケモンに続いて使用でき、最初以外の『りんしょう』は威力が2倍になる。音系の技。相手の『みがわり』状態を貫通する。(ダブルバトル用)
かたきうち,ノーマル,物理,70,120,100,5,○,前のターンに味方のポケモンが倒されていると威力が2倍になる。
かえんほうしゃ,ほのお,特殊,90,130,100,15,×,10%の確率で相手を『やけど』状態にする。
10まんボルト,でんき,特殊,90,130,100,15,×,10%の確率で相手を『まひ』状態にする。
サイコキネシス,エスパー,特殊,90,130,100,10,×,10%の確率で相手の『とくぼう』ランクを1段階下げる。
みがわり,ノーマル,変化,-,-,-,10,×,自分のHPを最大HPの1/4だけ減らして、減らしたHPと同じHPの自分の分身を作り、分身のHPが0になるまですべての攻撃を自分の代わりに分身が受ける。分身は状態異常にならない。ただし、音系の技などはそのまま受ける。
こらえる,ノーマル,変化,-,-,-,10,×,必ず先制できる(優先度:+4)。そのターンに『ひんし』状態になる攻撃を受けてもHPが1残る。連続で使うと失敗しやすくなる。
ねごと,ノーマル,変化,-,-,-,10,×,自分が『ねむり』状態の時のみ使用可能。自分の持っている技のうち1つをランダムで使う。PPが減少するのはこの技のみ。
バトンタッチ,ノーマル,変化,-,-,-,40,×,他の味方のポケモンと交代し、かかっていた補助効果を引き継ぐ。
みらいよち,エスパー,特殊,120,140,100,10,×,2ターン後に攻撃する。交代した場合は同じ位置にいるポケモンに攻撃する。タイプ相性の影響を受ける。
ちょうはつ,あく,変化,-,-,100,20,×,3ターンの間、相手は攻撃技しか出せなくなる。(変化技を使えなくする)
ばかぢから,かくとう,物理,120,95,100,5,○,攻撃後、自分の『こうげき』『ぼうぎょ』ランクが1段階ずつ下がる。
めいそう,エスパー,変化,-,-,-,20,×,自分の『とくこう』『とくぼう』ランクが1段階ずつ上がる。
あくのはどう,あく,特殊,80,130,100,15,×,20%の確率で相手をひるませる。
わるだくみ,あく,変化,-,-,-,20,×,自分の『とくこう』ランクを2段階上げる。
イカサマ,あく,物理,95,130,100,15,○,自分の『こうげき』ではなく、相手の『こうげき』の能力値でダメージ計算する。
アシストパワー,エスパー,特殊,20,130,100,10,×,自分のいずれかの能力ランクが1つ上がる度に威力が20上がる。
サイドチェンジ,エスパー,変化,-,-,-,15,×,必ず先制できる(優先度:+2)。自分と味方1体の位置を交代する。ダブルバトル用。(第6世代は優先度:+1)
アクアブレイク,みず,物理,85,130,100,10,○,20%の確率で、相手の『ぼうぎょ』ランクを1段階下げる。
かなしばり,ノーマル,変化,-,-,100,20,×,相手が最後に使った技を4ターンの間使えなくする。
みちづれ,ゴースト,変化,-,-,-,5,×,次の自分のターンまでに相手の攻撃で『ひんし』状態になると、相手も『ひんし』状態になる。ダイマックスしている相手には効果がない。第7世代以降は、連続で使うと必ず失敗する。
つぼをつく,ノーマル,変化,-,-,-,30,×,ランダムで『こうげき』『ぼうぎょ』『とくこう』『とくぼう』『すばやさ』『回避率』『命中率』ランクのどれか1つが2段階上がる。
からみつく,ノーマル,物理,10,90,100,35,○,10%の確率で相手の『すばやさ』ランクを1段階下げる。
サイコウェーブ,エスパー,特殊,-,100,100,15,×,ランダムに(自分のレベル×0.5～1.5)が相手に与えるダメージになる。
いあいぎり,ノーマル,物理,50,100,95,30,○,通常攻撃。
どくどく,どく,変化,-,-,90,10,×,相手を『もうどく』状態にする。『もうどく』状態は通常の『どく』状態と違い、受けるダメージが1/16、2/16、3/16・・・と増えていく。『どく』タイプのポケモンが使うと必ず命中する。『どく』タイプや『はがね』タイプには無効。
かげぶんしん,ノーマル,変化,-,-,-,15,×,自分の回避率を1段階上げる。
フラッシュ,ノーマル,変化,-,-,100,20,×,相手の命中率を1段階下げる。
おんがえし,ノーマル,物理,-,130,100,20,○,ポケモンがなついているほど威力が高くなる。最大102。
やつあたり,ノーマル,物理,-,130,100,20,○,ポケモンがなついていないほど威力が高くなる。最大102。
めざめるパワー,ノーマル,特殊,60,110,100,15,×,自分の個体値によって『タイプ』が変わる。(BW2までは威力も個体値によって変化)
じこあんじ,ノーマル,変化,-,-,-,10,×,相手にかかっている補助効果を自分にもかける。
いちゃもん,あく,変化,-,-,100,15,×,使用後、相手は同じ技を連続で出せなくなる。ダイマックスしている相手には無効。
ひみつのちから,ノーマル,物理,70,120,100,20,×,30%の確率で相手に以下の追加効果を与える。地形が草むらやグラスフィールドの時は『ねむり』状態、水上の時は『こうげき』ランクを1段階下げ、砂地の時は命中率を1段階下げ、岩場と洞窟の時はひるませ、雪原と氷上の時は『こおり』状態、火山の時は『やけど』状態、ミストフィールドの時は『とくこう』ランクを1段階下げ、サイコフィールドの時は『すばやさ』ランクを1段階下げ、ウルトラスペースの時は『ぼうぎょ』を1段階下げ、その他は『まひ』状態にする。また、ORASではフィールドで使うと秘密基地を作ることができる。
つばめがえし,ひこう,物理,60,110,-,20,○,自分の命中率、相手の回避率に関係なく必ず命中する。
さしおさえ,あく,変化,-,-,100,15,×,5ターンの間、持っている道具を使えなくなる。トレーナーもそのポケモンには道具を使えない。
ないしょばなし,ノーマル,変化,-,-,-,20,×,相手の『とくこう』ランクを1段階下げる。自分の命中率、相手の回避率に関係なく必ず命中する。相手の『まもる』『みきり』『トーチカ』『ニードルガード』『ブロッキング』の効果を受けない(『ダイウォール』を除く)。音系の技。相手の『みがわり』状態を貫通する。
おだてる,あく,変化,-,-,100,15,×,相手を1～4ターンの間『こんらん』状態にするが、相手の『とくこう』ランクを1段階上げてしまう。
ほごしょく,ノーマル,変化,-,-,-,20,×,自分の『タイプ』を、地形が草むらやグラスフィールドの時は『くさ』タイプ、砂地の時は『じめん』タイプ、水上の時は『みず』タイプ、岩場と洞窟の時は『いわ』タイプ、雪原と氷上の時は『こおり』タイプ、火山の時は『ほのお』タイプ、エレキフィールドの時は『でんき』タイプ、ミストフィールドの時は『フェアリー』タイプ、サイコフィールドやウルトラスペースの時は『エスパー』タイプ、その他は『ノーマル』タイプに変える。ただし、同じ『タイプ』を持っている場合は失敗する。
パワーシェア,エスパー,変化,-,-,-,10,×,自分と相手の『こうげき』と『とくこう』を足して半分に分ける。
シンプルビーム,ノーマル,変化,-,-,100,15,×,相手の特性が『たんじゅん』になる。(ダブルバトルで味方に使うと良い)
しめつける,ノーマル,物理,15,90,85,20,○,4～5ターンの間、毎ターン終了後最大HPの1/8のダメージを与え、その間相手は逃げたり交代できない。
うらみ,ゴースト,変化,-,-,100,10,×,相手の最後に使った技のPPを4減らす。
なりきり,エスパー,変化,-,-,-,10,×,自分の特性を相手の特性と同じにする。ただし、『ふしぎなまもり』など一部の固有な特性はコピーできない。
はたきおとす,あく,物理,65,120,100,20,○,相手が道具を持っている場合、ダメージが1.5倍になり、さらに道具を持っていない状態にする。戦闘終了後、道具は元に戻る。
よこどり,あく,変化,-,-,-,10,×,必ず先制でき(優先度:+4)、相手が使おうとした、能力ランクを変化させる技や回復系の技の効果を奪い、自分にかける。
テレキネシス,エスパー,変化,-,-,-,15,×,3ターンの間、相手を『テレキネシス』状態にする。『じめん』タイプの技が当たらなくなるが、それ以外の技が必ず命中するようになる。ただし、一撃必殺の技は変化しない。
ハッピータイム,ノーマル,変化,-,-,-,30,×,戦闘後に得られる賞金が2倍になる。
