技名,タイプ,分類,威力,ダイ,命中,PP,直,説明
ポイズンテール,どく,物理,50,75,100,25,○,10%の確率で相手を『どく』状態にする。急所に当たりやすい(急所ランク:+1)。
あやしいひかり,ゴースト,変化,-,-,100,10,×,相手を1～4ターンの間『こんらん』状態にする。
ドラゴンテール,ドラゴン,物理,60,110,90,10,○,必ず後攻になる(優先度:-6)。攻撃後、相手のポケモンを強制的に交代させる。野生のポケモンの場合は戦闘を終了する。ダイマックスしている相手には追加効果は無効。
こうそくいどう,エスパー,変化,-,-,-,30,×,自分の『すばやさ』ランクが2段階上がる。
どくどく,どく,変化,-,-,90,10,×,相手を『もうどく』状態にする。『もうどく』状態は通常の『どく』状態と違い、受けるダメージが1/16、2/16、3/16・・・と増えていく。『どく』タイプのポケモンが使うと必ず命中する。『どく』タイプや『はがね』タイプには無効。
ベノムショック,どく,特殊,65,85,100,10,×,相手が『どく』状態の時、威力が2倍になる。
りゅうのまい,ドラゴン,変化,-,-,-,20,×,自分の『こうげき』『すばやさ』ランクを1段階ずつ上げる。
クロスポイズン,どく,物理,70,85,100,20,○,10%の確率で相手を『どく』状態にする。急所に当たりやすい(急所ランク:+1)。
りゅうのはどう,ドラゴン,特殊,85,130,100,10,×,通常攻撃。
かえんほうしゃ,ほのお,特殊,90,130,100,15,×,10%の確率で相手を『やけど』状態にする。
ダイマックスほう,ドラゴン,特殊,100,140,100,5,×,相手がダイマックスしていると、ダメージが2倍になる。
コスモパワー,エスパー,変化,-,-,-,20,×,自分の『ぼうぎょ』『とくぼう』ランクが1段階ずつ上がる。
じこさいせい,ノーマル,変化,-,-,-,10,×,HPが最大HPの半分回復する。
はかいこうせん,ノーマル,特殊,150,150,90,5,×,使用した次のターンは行動できない。
ムゲンダイビーム,ドラゴン,特殊,160,150,90,5,×,使用した次のターンは行動できない。
そらをとぶ,ひこう,物理,90,130,95,15,○,1ターン目に空中へ飛び上がり、2ターン目に攻撃する。空中にいる間は『うちおとす』『かぜおこし』『かみなり』『サウザンアロー』『スカイアッパー』『たつまき』『ぼうふう』以外の技を受けない。
はかいこうせん,ノーマル,特殊,150,150,90,5,×,使用した次のターンは行動できない。
ギガインパクト,ノーマル,物理,150,150,90,5,○,使用した次のターンは行動できない。
